Words,StrongsIndex,Translations
αβρααμ,11,Abraham
αγαθος,18,good
αγαπω,25,I love
αγαπη,26,love
αγαπητος,27,beloved
αγγελος,32,angel
αγιος,40,holy
αγω,71,I lead
αδελφος,81,brother
αιμα,129,blood
αιτεω,154,I ask
αιων,165,an age
αιωνιος,166,eternal
ακολουθεω,190,I follow
ακουω,191,I hear
αληθεια,225,truth
αλλα,235,but
αλληλων,240,of one another
αλλος,243,other|another
αμαρτανω,264,I sin
αμαρτια,266,sin
αμαρτωλος,268,sinful|sinner
αμην,281,verily|truly|amen
αν,302,contingent
αναβαινω,305,I go up
ανηρ,435,man
ανθρωπος,444,man
ανιστημι,450,I cause to arise|I arise
ανοιγω,455,I open
απαγγελλω,518,I annouce|I report
απερχομαι,565,I depart|I go away
απο,575,from
αποδιδωμι,591,I give back|I repay
αποθνησκω,599,I die
αποκρινομαι,611,I answer
αποκτεινω,615,I kill
απολθω,628,I release
απολλυμι,622,I destroy|I perish
αποστελλω,649,I send
αποσοτλος,652,an Apostle
αρα,685,then|therefore
αρτοσ,740,bread|a loaf
αρχη,746,beginning
αρχιερευς,749,chief priest|high priest
αρχω,757,I rule
ασπαζομαι,782,I greet|salute
αυτος,846,he
αφιημι,863,I let go|I permit|I forgive
αχρι,891,as far as|up to|until
βαλλω,906,I throw|I cast|I put
βαπτιζω,907,I baptize
βασιλεια,932,kingdom
βασιλευς,935,king
βλεπω,991,I see
γαλιλαια,1056,Galilee
γαρ,1063,for
γενναω,1080,I beget
γη,1093,land
γινομαι,1096,I become
γινωσσα,1097,I realize
γραμματευς,1122,scribe
γραφη,1124,a writing|Scripture
γραφω,1125,I write
γυνη,1135,woman
δαυιδ,1138,David
δαιμονιον,1140,demon
δε,1161,but
δει,1163,it is necessary
δεξιος,1188,right
δευτερος,1208,second
δεχομαι,1209,I receive
δια,1223,through
διδασκαλος,1320,a teacher
διδασκω,1321,I teach
διδωμι,1325,I give
δικαιος,1342,right|just
δικαιοσυνη,1343,righteousness
διο,1352,therefore|for this reason
διωκω,1377,I persue|I persecute
δοκεω,1380,I think|I seem
δοξα,1391,glory
δοξαζω,1392,I glorify
δουλος,1401,slave
δυναμαι,1410,I can
δυναμις,1411,power
δυο,1417,two
δωδεκα,1427,twelve
εαν,1437,if
εαυτου,1438,of himself
εγειρω,1453,I raise up
εγω,1473,I
εθνος,1484,nation
ει,1508,if
ειμι,1510,I am
ειρηνη,1515,peace
εις,1519,into
εις,1520,one
εισερχομαι,1525,I enter
εκ,1537,out of
εκαστος,1538,each
εκβαλλω,1544,I cast out
εκει,1563,there
εκεινος,1565,that
εκκλεσια,1577,assembly|congregation|church
ειτε,1635,if|whether
ελπις,1680,hope
εμος,1699,my|mine
εμπροσθεν,1715,in front of|before
εν,1722,in
ενοτης,1775,unity
εντολη,1785,a commandment
ενωπιον,1799,before
εξερχομαι,1831,I go out
εξουσια,1849,authority
εξω,1854,without|outside
επαγγελια,1860,a promise
επερωταω,1905,I ask|I question|I demand of
επι,1909,over
επιγινωσκω,1921,I come to know|I demand of
επτα,2033,seven
εργον,2041,work
ερημος,2048,desert|wilderness
ερωταω,2065,I ask|I request|I entreat
εσθιω,2068,I eat
εσχατος,2079,last
ετερος,2087,other|another|different
ετι,2089,still|yet|even
ετος,2094,year
ευαγγελιζω,2097,I bring good news|good tidings
ευαγγελιον,2098,good news|glad tidings|the Gospel
ευθυς,2117,straightway|immediately
ευρισκω,2147,I find
εχω,2192,I have
εως,2193,until
ζαω,2198,I live
ζητεω,2212,I seek
ζωη,2222,life
η,2228,or
ηδη,2235,now|already
ημερα,2250,day
θαλασσα,2281,sea
θανατος,2288,death
θελημα,2307,will
θελω,2309,I desire
θεος,2316,God
θεωρεω,2334,I look at|I behold
θλιψις,2347,tribulation|distress|affliction
θηριον,2349,wild beast
θρονος,2362,a throne
ιδιος,2398,one's own
ιδου,2400,Behold
ιερον,2411,temple
ιερουσαλημ,2419,Jerusalem
ιερασαλυμα,2419,Jerusalem
ιησους,2424,Jesus
ιματιον,2440,a clock|garment
ινα,2443,in order that
ιουδας,2448,Judas|Judah
ιουδαιος,2453,Jew
ισραηλ,2474,Israel
ιστημι,2476,I stand|I est.
ιωαννης,2489,John
καθημαι,2521,I sit
καθιζω,2523,I seat|I sit
καθως,2531,just as
και,2532,and
καιρος,2540,time|an appointed time
κακος,2556,bad|evil
καλεω,2564,I call|I name|I invite
καλος,2570,good
καρδια,2588,heart
