StrongsIndex,Words,Translations
אַב,2,father
אבד,6,to become lost
אֶבֶן,69,stone
אַבְרָהם,85,Abraham
אָדוֹן,113,lord|master
אַדָם,120,human being
אֲדָמָה,128,earth|ground
אֲדֹנָי,136,lord|master
אהב,157,to love
אֹהֶל,168,tent
אַהֲרֹן,175,Aaron
אֲהֲרון,175,Aaron
אוֹ,176,or
אוֹר,215,light
אַז,227,then|before|since
אֹזֶן,241,ear
אַח,252,brother
אֶחָד,259,one
אָחוֹת,269,sister
אַחַר,310,behind|after|back
אַחֵר,313,another|other|follow
אָיַב,352,ram|mighty
אִישׁ,377,man|husband|each
אַךְ,389,indeed|surely|only|however
אָכַל,398,to eat
אַל,409,not|nothing
אֶל,413,to|towards
אֵלֶּה,429,these
אֶלהִים,430,Gods|gods
אֶלֶף,504,thousand
אֵם,517,mother
אִם,518,if
אַמָה,521,forearm|cubit
אמר,560,to say
אֶמֶת,571,truth|firmness|faithfulness
אֲנָחְנו,587,we
אֲנִי,589,I
אָנֹכִי,595,I
אָסַף,622,to gather
אַף,637,also|even|nose|anger
אֶפְרַיִם,669,Ephraim|North Kingdom
אַרִבָעָה,702,four (f.)
אַרִבַּע,703,four (m.)
אַרִבַּעַים,705,forty
אֲרוֹן,727,Ark of the Covenant
אֲרָם,758,Aram|Aramaenan
אֶרֶץ,776,ground|earth|country
אֵשׁ,785,fire
אִשָׁה,802,woman
אַשׁוּר,804,Assyria|Assyrians
אֲשֶׁר,834,that|who|which
אֵת,853,with|near|together with
אַתָּה,859,you (m. s.)
אַתֶם,864,you (m. pl.)
ב,0,in|at|with|against|when
בָּבֶל,894,Babylon
בֶּגֶד,899,garment
בִּד,905,alone|separation
בְּהֵמָה,929,animal|beast|cattle
בוא,935|to come|enter
בושׁ,954|to be ashamed
בָחַר,977,to choose
בַּיִן,995,to discern|understand
בַּיִת,1005,house
בְּכוֹר,1060,first-born
בֵּן,1123,son
בנה,1129,to build
בִנְימִין,1144,Benjamin
בַּעַל,1167,husband|owner
בָּקָר,1241,cattle|herd
בֹקֶר,1242,morning|dawn
בקשׁ,1245,to seek
בְּרית,1285,covenant
ברךְ,1288,to bless
בָשָׂר,1320,flesh|meat
בַּת,1323,daughter
גְבוּל,1366,boundary|twisted cord
גִבוֹר,1368,strong|mighty
גָדוֹל,1419,great (in size)
גדל,1431,to grow up|be great
גוֹי,1471,people|nation
גלה,1540,to uncover|remove
גַם,1571,also|even
דָּבָר,1696,word|matter|thing
דּבּר,1697,to speak
דּוד,1732,David
דּוֹר,1755,generation
דִּי,1768,that|which
דָּם,1818,blood
דֶרֶךְ,1870,way|road|journey
דרשׁ,1875,to seek|inquire
ה,0,the
הֲ,0,(interrogative particle)
הוּא,1931,he|it|that
הִיא,1958,she|it|that
היה,1961,to come to pass|become
הלך,1980,to go|walk
הָלַל,1984,to praise
הֵם,1992,they
הִנֵה,2009,behold
הַר,2022,mountain
הרג,2026,to kill|slay
ו,0,and|but|then|or
זֹאת,2063,this
זבח,2077,to slaughter|sacrifice
זֶבַח,2078,sacrifice
זֶה,2088,this
זָהָב,2091,gold
זכר,2142,to remember
זָקֵך,2207,old|old man
זֶרַא,2214,seed|offspring
חֹדֶשׁ,2320,new moon|month
חוח,2331,to bow down
חוֹמַה,2346,wall
חוּץ,2351,outside|street
חזק,2388,to be strong
חטא,2398,to sin
חַטָּאת,2402,sin|sin-offering
חי,2416,living|alive
חיח,2418,to be alive
חיִים,2425,life
חיִל,2428,wealth|army
חַכָם,2450,wise|skillful
חָכְמָה,2452,wisdom
חלל,2490,to be defiled|profane
חֵמָה,2534,heat|rage
חָמֵשׁ,2568,five (m.)
חֲמִשׁה,2568,five
חמשים,2572,fifty
חֵן,2580,grace|charm|favor
חָנָה,2583,to encamp
חֶסֶד,2618,goodness|kindness
חֲצֵי,2680,half
חָצֵר,2691,court|enclosure|village
חֹק,2706,statute|ordinance
חשׁב,2803,to think
חֶרֶב,2919,sword
טוֹב,2897,good|pleasant|agreeable
יָד,3027,hand|power
ידע,3045,to know
יְהוּדה,3063,Judah
יהוה,3068,Yahweh
יְהוֹשׁוּע,3091,Joshua
יוֹאב,3097,Joab
יוֹם,3118,day
יוֹסף,3130,Joseph
יַיִן,3196,wine
יכל,3201,to be able to
ילד,3205,give birth|beget|child
יָם,3220,sea|west
יָמין,3225,right hand|south side
יסף,3254,to add|continue to do
יעֲקֹב,3290,Jacob
יצא,3318,to go out
ירא,3373,to fear
יָרַד,3381,to go down
יַרִדֵּן,3387,Jordon
יְרוּשָׁלִם,3389,Jerusalem
יִרמְיהן,3414,Jeremiah
ירשׁ,3423,to inherit
יֵשׁ,3426,there is|there are
ישׁב,3427,to sit|dwell
ישׁב,3467,to save
יָשׁר,3474,right|just
כ,0,like|as|according to
כָּבוד,3519,abundance|honor|glory
כֹּה,3541,thus
כֹּהֵן,3548,priest
כון,3559,to be established
כֹּח,3581,power
כִּי,3587,because|since|that|when|if
כֹּל,3606,all|whole|every
כלר,3615,to come to an end|to be completed
כֶלִי,3627,vessel|implement
כֵּן,3651,so|therefore|right
כִּסֵא,3678,throne|chair
כִסֵה,3680,to cover
כֶּסף,3701,silver|money
כַּף,3709,hallow|palm|sole of the foot
כרת,3772,to cut off
כתב,3789,to write
ל,0,to|for
לֹא,3808,no|not
לֵב,3821,heart
לֵבָב,3824,heart
לֵוִי,3881,Levi
לחם,3898,to fight
לֶחֶם,3899,bread
לַיְלָה,3915,night
לָמָּה,0,why
לְמַעַן,0,on account of|for the sake of
לכד,3920,to catch|capture
לקח,3947,to take
מִאֹד,3966,very
מֵאָה,3967,hundred
מִדִבָר,4057,wilderness|desert
מָה,4101,what
מוֹאָב,4124,Moab
מוֹעֵד,4150,meeting|appointed time
מוּת,4191,to die
מָוֶת,4194,death
מִזִבֵּח,4196,alter
מַחֲנֶה,4264,camp
מַטֶה,4297,staff|tribe
מי,4310,who
מַיִם,4325,water
מלא,4390,to be full
מַלְאָךְ,4397,messenger|angel
מְלָאכָה,4399,work|occup.|business
מִלְחָמָה,4421,war
מֶלֶךְ,4429,king|ruler
מלך,4431,to become king|reign
מִן,4480,more than|from|out of
מִנְחָּה,4504,gift|offering
מְנַשׁה,4519,Manasseh
מִסְפָּר,4557,number|tales
מַעַל,4605,above|on top of
מַעֲשֶׂה,4639,deed|work
מצא,4672,to find
מִצְרַיִם,4714,Egypt|Egyptians
מקוֹם,4725,place
מֹשׁה,4872,Moses
מִשְׁכָּן,4908,dwelling-place|tabernacle
מַשְׁפָּחָה,4940,family
מִשׁפּט,4941,justice|judgement
נָא,4994,now|oh please
נָאֻם,5002,utterance|oracle|declaration
נָבִיא,5030,prophet
נֶגֶד,5049,in front of|in sight of|opposite of
נגד,5046,to declare|tell
נגע,5060,to touch|to strike
נגשׁ,5066,to come|draw near|approach
נוּח,5117,to rest
